,,,,,,,,,,,
,,,,,,,,,,,
Alabama,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,210,,"1,046,916",,,"78,200",,,"15,694",,
,214,,"1,278,998",,,"87,485",,,"15,267",,
,254,,"486,747",,,"28,506",,,"6,160",,
,281,,"1,369,844",,,"119,127",,,"22,213",,
,325,,"278,415",,,"16,962",,,"4,990",,
,346,,27,,,2,,,2,,
,361,,"382,067",,,"15,894",,,"3,819",,
,409,,"368,392",,,"16,616",,,"4,605",,
,430,,"1,161",,,21,,,2,,
,432,,"227,391",,,"8,635",,,"2,407",,
,469,,"314,324",,,"19,085",,,"4,324",,
,512,,"1,208,918",,,"107,206",,,"22,178",,
,682,,"85,659",,,"4,254",,,946,,
,713,,"1,026,876",,,"69,221",,,"11,812",,
,737,,218,,,11,,,9,,
,806,,"494,184",,,"23,077",,,"6,050",,
,817,,"1,341,769",,,"105,851",,,"20,957",,
,830,,"321,322",,,"13,819",,,"3,377",,
,832,,"717,851",,,"25,144",,,"4,683",,
,903,,"861,045",,,"41,684",,,"10,825",,
,915,,"303,620",,,"16,348",,,"4,013",,
,936,,"342,734",,,"13,791",,,"3,580",,
,940,,"356,656",,,"17,458",,,"3,934",,
,956,,"339,456",,,"11,428",,,"2,784",,
,972,,"1,107,114",,,"96,399",,,"19,772",,
,979,,"315,278",,,"12,133",,,"3,117",,
,,,,,,,,,,,
,,,,,,,,,,,
Utah,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,385,,"5,474",,,812,,,247,,
,435,,"411,389",,,"20,892",,,"4,544",,
,801,,"1,402,505",,,"86,667",,,"17,189",,
,,,,,,,,,,,
,,,,,,,,,,,
Vermont,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,802,,"468,863",,,"25,259",,,"5,526",,
,,,,,,,,,,,
,,,,,,,,,,,
Virginia,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,276,,"270,000",,,"11,811",,,"3,013",,
,434,,"431,727",,,"21,666",,,"4,941",,
,540,,"1,113,268",,,"66,028",,,"15,783",,
,571,,"272,676",,,"14,320",,,"2,990",,
,703,,"1,553,786",,,"154,774",,,"36,281",,
,757,,"1,240,011",,,"72,080",,,"16,972",,
,804,,"986,746",,,"58,843",,,"14,579",,
,,,,,,,,,,,
,,,,,,,,,,,
Washington,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,206,,"998,700",,,"92,632",,,"16,866",,
,253,,"724,447",,,"61,445",,,"9,204",,
,360,,"1,386,381",,,"103,104",,,"21,242",,
,425,,"869,156",,,"69,281",,,"14,153",,
,509,,"926,053",,,"47,031",,,"10,193",,
,,,,,,,,,,,
,,,,,,,,,,,
West Virginia,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,304,,"1,162,600",,,"63,104",,,"14,114",,
,681,,"1,869",,,56,,,21,,
,,,,,,,,,,,
,,,,,,,,,,,
Wisconsin,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,262,,"810,208",,,"36,929",,,"8,061",,
,414,,"739,795",,,"26,012",,,"5,853",,
,534,,41,,,7,,,0,,
,608,,"949,507",,,"28,390",,,"6,444",,
,715,,"853,074",,,"18,693",,,"5,058",,
,920,,"1,020,453",,,"26,141",,,"6,185",,
,,,,,,,,,,,
,,,,,,,,,,,
Wyoming,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,307,,"433,878",,,"27,437",,,"5,713",,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
