FY 2018 Complaints by Consumer State and Topic,,
Consumer State,Topic*,Complaints
South Dakota,Work from home,70
Tennessee,Computer & technical support,2063
Tennessee,"Energy, solar, & utilities",145
Tennessee,Home improvement & cleaning,339
Tennessee,Home security & alarms,2078
Tennessee,Imposters,6199
Tennessee,"Lotteries, prizes & sweepstakes",1131
Tennessee,Medical & prescriptions,9683
Tennessee,Reducing debt,15222
Tennessee,Vacation & timeshares,3572
Tennessee,Warranties & protection plans,3080
Tennessee,Work from home,653
Texas,Computer & technical support,10558
Texas,"Energy, solar, & utilities",3434
Texas,Home improvement & cleaning,7387
Texas,Home security & alarms,5857
Texas,Imposters,27715
Texas,"Lotteries, prizes & sweepstakes",3190
Texas,Medical & prescriptions,38608
Texas,Reducing debt,46435
Texas,Vacation & timeshares,6519
Texas,Warranties & protection plans,13698
Texas,Work from home,2554
Utah,Computer & technical support,1222
Utah,"Energy, solar, & utilities",1965
Utah,Home improvement & cleaning,453
Utah,Home security & alarms,243
Utah,Imposters,4337
Utah,"Lotteries, prizes & sweepstakes",752
Utah,Medical & prescriptions,4755
Utah,Reducing debt,9678
Utah,Vacation & timeshares,1815
Utah,Warranties & protection plans,1867
Utah,Work from home,529
Vermont,Computer & technical support,382
Vermont,"Energy, solar, & utilities",31
Vermont,Home improvement & cleaning,19
Vermont,Home security & alarms,33
Vermont,Imposters,609
Vermont,"Lotteries, prizes & sweepstakes",62
Vermont,Medical & prescriptions,599
Vermont,Reducing debt,1147
Vermont,Vacation & timeshares,185
Vermont,Warranties & protection plans,311
Vermont,Work from home,54
Virginia,Computer & technical support,3691
Virginia,"Energy, solar, & utilities",409
Virginia,Home improvement & cleaning,3065
Virginia,Home security & alarms,1064
Virginia,Imposters,11690
Virginia,"Lotteries, prizes & sweepstakes",1519
Virginia,Medical & prescriptions,15433
Virginia,Reducing debt,20819
Virginia,Vacation & timeshares,6450
Virginia,Warranties & protection plans,4040
Virginia,Work from home,809
Washington,Computer & technical support,4634
Washington,"Energy, solar, & utilities",524
Washington,Home improvement & cleaning,1518
Washington,Home security & alarms,425
Washington,Imposters,11577
Washington,"Lotteries, prizes & sweepstakes",2027
Washington,Medical & prescriptions,8486
